X,Y,OBJECTID_1,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,Lat_Dec_De,Long_Dec_D,URL
-3.60649999999993,54.491,165,St Bees,ILB,Cumbria,WalesAndWest,North & Scot South,GBR,WalesAndWest,31,54.4910965,-3.60655689,https://rnli.org/find-my-nearest/lifeboat-stations/st-bees-lifeboat-station
-3.56765998299994,54.6508943590001,166,Workington,ALB/ILB,Cumbria,WalesAndWest,North & Scot South,GBR,WalesAndWest,31,54.65088654,-3.56768894,https://rnli.org/find-my-nearest/lifeboat-stations/workington-lifeboat-station
-4.85762325399998,55.243381576,167,Girvan,ALB,South Ayrshire,Scotland,Central & Shetland,GBR,Scotland,32,55.24337769,-4.85763884,https://rnli.org/find-my-nearest/lifeboat-stations/girvan-lifeboat-station
-4.77340038599993,56.013128533,168,Helensburgh,ILB,Argyll and Bute,Scotland,Central & Shetland,GBR,Scotland,32,56.01304626,-4.773417,https://rnli.org/find-my-nearest/lifeboat-stations/helensburgh-lifeboat-station
-3.81349999999998,54.8765000000001,169,Kippford,ILB,Dumfries And Galloway,Scotland,North & Scot South,GBR,Scotland,42,54.87649536,-3.81349802,https://rnli.org/find-my-nearest/lifeboat-stations/kippford-lifeboat-station
-4.04750680899997,54.8396263120001,170,Kirkcudbright,ILB,Dumfries And Galloway,Scotland,North & Scot South,GBR,Scotland,42,54.794665,-4.062456,https://rnli.org/find-my-nearest/lifeboat-stations/kirkcudbright-lifeboat-station
-4.87052608399995,55.8000102190001,171,Largs,ILB,North Ayrshire,Scotland,Central & Shetland,GBR,Scotland,32,55.80015182,-4.87068176,https://rnli.org/find-my-nearest/lifeboat-stations/largs-lifeboat-station
-5.11984932999997,54.8419490700001,172,Portpatrick,ALB,Dumfries And Galloway,Scotland,North & Scot South,GBR,Scotland,32,54.84193039,-5.11991882,https://rnli.org/find-my-nearest/lifeboat-stations/portpatrick-lifeboat-station
-5.03522430699996,54.9081385810001,173,Stranraer,ILB,Dumfries And Galloway,Scotland,North & Scot South,GBR,Scotland,32,54.90816879,-5.03522491,https://rnli.org/find-my-nearest/lifeboat-stations/stranraer-lifeboat-station
-4.68139999999994,55.5481,174,Troon,ALB/ILB,South Ayrshire,Scotland,Central & Shetland,GBR,Scotland,32,55.54812241,-4.68140984,https://rnli.org/find-my-nearest/lifeboat-stations/troon-lifeboat-station
